X,Y
-7.096,6.346
-0.862,10.275
-8.549,0.365
-3.258,-9.544
6.651,5.754
-5.021,-6.923
-6.709,10.985
-6.391,8.612
-9,-2.151
4.534,-8.223
4.409,-10.878
-9.021,-2.924
-9.354,4.113
9.148,-3.281
8.225,5.524
9.338,-2.608
9.115,5.706
-7.286,6.557
-4.167,9.557
-9.254,-4.791
-6.198,-8.851
-10.971,-1.313
-10.831,2.722
8.252,3.87
9.497,-0.95
7.843,7.642
-0.932,11.306
-7.495,4.386
9.778,1.938
5.713,8.63
-10.225,0.972
3.666,-8.853
-1.475,10.875
-1.72,10.231
2.966,-8.869
-9.221,3.049
10.435,-1.112
2.803,8.352
-4.066,10.956
-9.129,3.234
-9.033,3.925
-7.447,7.349
-4.679,-7.581
-9.989,-4.262
2.719,-8.785
-9,4.101
1.392,9.087
10.174,-3.784
1.457,-11.306
10.555,-0.904
-1.096,9.186
4.118,-7.724
-7.887,5.573
-7.319,4.714
7.939,-2.918
-1.88,9.607
9.987,-0.174
-2.785,-10.913
9.484,-5.677
10.243,-1.053
-12.074,-5.775
-8.816,1.201
11.775,2.134
9.092,-3.76
10.693,0.378
-4.345,7.982
-7.053,6.297
10.869,-1.728
-5.131,-6.775
-0.079,10.397
-9.226,-5.952
8.875,-5.943
-6.019,7.19
10.032,-2.06
9.204,-3.423
2.188,9.068
9.351,-1.002
-2.869,-10.168
9.341,-1.774
2.989,10.363
2.492,9.563
0.135,8.001
-6.153,8.371
6.063,9.591
11.083,3.466
3,-9.794
-5.653,-7.855
-8.751,-4.079
3.866,-10.076
7.73,-2.333
-5.245,5.48
9.726,0.782
1.19,9.99
6.334,-5.051
7.813,7.893
-7.77,-8.52
-0.607,-11.379
3.834,-7.696
-0.297,11.693
9.076,-3.308
8.347,1.405
-3.399,-10.181
-1.266,-12.346
-9.593,1.68
8.28,7.49
-8.971,-3.312
-0.967,10.364
-0.83,10.906
-4.569,9.409
8.283,-6.916
-6.328,5.423
-10.487,3.191
-5.426,-6.821
-0.512,10.364
-3.112,-9.875
-0.102,-11.818
-1.46,-10.854
4.11,7.239
-5.266,7.724
-10.48,1.783
9.493,-4.906
8.275,-1.227
9.238,-1.299
5.87,-6.541
-8.793,-6.177
3.06,-8.475
-3.59,-9.984
-7.498,-6.422
9.875,-6.915
-11.562,1.888
-9.587,-4.329
-8.767,-7.184
4.864,-7.571
9.006,-4.648
-9.947,-2.289
-10.248,0.934
11.817,2.802
-7.43,-6.291
-11.518,-3.33
-0.685,9.447
9.996,-0.353
-8.7,-4.437
3.168,8.151
9.829,0.748
-1.796,10.074
0.668,-10.117
5.473,7.286
-11.146,0.073
1.513,10.588
-1.823,-9.247
10.133,1.507
-7.049,-8.155
7.01,-5.948
-4.867,-7.419
-0.475,-11.079
-0.099,-10.493
8.046,5.149
0.934,7.99
-6.372,-7.638
8.6,5.253
4.397,5.53
-6.366,-9.713
11.486,-0.447
10.23,3.333
8.248,-7.592
4.119,8.356
6.274,-6.562
2.892,9.283
-9.635,1.294
-10.156,-0.904
-11.755,1.878
-6.469,6.792
-4.352,8.399
-2.125,-10.333
2.631,9.716
-4.406,-7.889
8.285,8.736
-3.153,9.805
10.78,-0.588
4.427,-7.243
-7.16,-3.661
-8.143,-2.797
4.569,8.251
-8.771,2.893
-7.705,-1.052
-3.446,8.729
-8.873,-4.573
-3.899,9.613
-4.685,-10.353
2.936,8.903
0.238,-10.299
-1.667,-8.638
8.848,-6.464
9.189,-3.315
-9.494,-6.291
10.588,2.997
-7.27,5.876
-9.182,5.54
-6.957,-7.509
9.669,-3.696
1.538,10.373
5.603,6.859
3.96,-9.513
4.554,-9.784
-10.331,2.544
-0.229,9.509
-1.398,-10.495
3.024,-8.697
-3.57,-8.746
-1.812,8.859
-5.949,-8.444
-3.921,7.968
-2.469,-10.454
1.732,9.813
9.82,4.184
7.438,4.667
-7.217,-5.959
-8.931,-5.714
-9.478,0.513
-6.726,7.175
-2.706,-11.064
1.226,10.409
8.364,-4.649
-6.097,8.522
2.452,9.891
9.438,4.13
7.53,-8.048
0.012,-7.788
-5.837,8.962
-9.763,-1.276
-9.61,5.788
3.083,-12.128
3.808,-11.329
-8.719,0.152
8.115,-5.811
10.046,-3.371
-6.349,-4.971
8.616,-5.528
8.413,6.493
-6.238,5.27
7.225,6.126
-9.164,-3.749
-5.605,-8.992
-9.857,3.412
-4.919,-8.964
-7.363,-4.406
-5.882,-9.583
-8.35,3.893
-7.912,7.292
1.947,-12.063
-6.713,5.648
-5.722,-6.937
11.272,2.932
12.197,4.403
-5.395,7.943
-8.396,-5.281
10.202,-1.568
-2.204,8.955
6.337,-9.808
-8.111,-6.544
9.704,0.54
-6.292,-6.587
-8.795,5.8
-8.569,-1.882
1.834,10.34
9.062,2.298
-9.649,-6.059
4.94,-7.194
9.729,4.22
1.799,8.903
-8.56,-2.448
8,3.887
1.826,-9.846
-8.596,-4.696
3.217,-8.867
-8.766,-0.45
-1.423,-11.191
-11.045,-0.64
9.173,2.617
0.418,-10.223
10.204,-4.244
-2.11,-8.316
9.949,-2.946
-4.846,8.593
6.359,9.361
2.838,-10.39
2.524,7.554
-6.54,6.338
8.339,3.535
-8.247,0.752
-4.823,-8.501
8.288,-5.824
-2.401,-8.671
9.391,1.012
-11.66,-0.536
-2.865,11.196
-2.865,9.895
-4.25,-10.163
7.319,8.478
10.411,-5.006
-7.043,-4.568
8.782,6.899
-3.556,-7.706
0.35,-9.617
6.678,7.919
4.215,10.046
-4.451,8.642
-9.293,4.155
-3.308,9.323
-5.597,7.193
6.126,8.106
8.288,-3.529
